question,answer,rate,fine_tune
How to prevent High Blood Pressure?,"Follow a healthy eating plan, reduce salt intake, exercise regularly, maintain a healthy weight, and avoid excessive alcohol consumption.",3,0
What should I do if my leg is broken?,"Hi, Thanks for writing in.

The fractured leg is a very common condition and can be treated with an anti-inflammatory medication like Ibuprofen or Paracetamol to reduce the pain associated by your legs as well.

If you have any other symptoms such as fevers/numbness of hands etc...you need not worry about it because there are many causes that may cause this problem so consult orthopedic surgeon who will examine them accordingly....

Hope my answer was helpful! Best wishes",3,0
What should I do if my leg is broken?,"Hi, Thanks for writing in.

The fractured leg is a very common condition and can be treated with an anti-inflammatory medication like Ibuprofen or Paracetamol to reduce the pain associated by your legs as well.

If you have any other symptoms such as fevers/numbness of hands etc...you need not worry about it because there are many causes that may cause this problem so consult orthopedic surgeon who will examine them accordingly....

Hope my answer was helpful! Best wishes",3,0
What should I do if my leg is broken?,"Hi, Thanks for writing in.

The fractured leg is a very common condition and can be treated with an anti-inflammatory medication like Ibuprofen or Paracetamol to reduce the pain associated by your legs as well.

If you have any other symptoms such as fevers/numbness of hands etc...you need not worry about it because there are many causes that may cause this problem so consult orthopedic surgeon who will examine them accordingly....

Hope my answer was helpful! Best wishes",3,0
hi my nine year old son had a cough and flu symptons three months ago and the chesty sounding cough and green phlegm still remains. it did seem to get better but never totally went and has now picked up again...he has only ever had antibiotics once in his live which suggests he his generally fitand well and active...never short of breath or weezy...so why would this be....,"Hi...

Thank you for consulting in AI Clinic.

I understand your concern and would explain that his symptoms could be related to viral infection or bronchitis (infection of the airways).

In my opinion, we should first rule out lung infections as well because it can cause similar kind of coughing with green chest pains which is common after flu season.

So get done clinical examination of respiratory system including PFT (Pulmonary Function Test) along with Chest x-ray to confirm diagnosis.

If both these are normal then no need to worry about any serious illness like pneumonia.

Regards -",3,0
hi my nine year old son had a cough and flu symptons three months ago and the chesty sounding cough and green phlegm still remains. it did seem to get better but never totally went and has now picked up again...he has only ever had antibiotics once in his live which suggests he his generally fitand well and active...never short of breath or weezy...so why would this be....,"Hi...

Thank you for consulting in AI Clinic.

I understand your concern and would explain that his symptoms could be related to viral infection or bronchitis (infection of the airways).

In my opinion, we should first rule out lung infections as well because it can cause similar kind of coughing with green chest pains which is common after flu season.

So get done clinical examination of respiratory system including PFT (Pulmonary Function Test) along with Chest x-ray to confirm diagnosis.

If both these are normal then no need to worry about any serious illness like pneumonia.

Regards -",3,0
"gyno problemsfor the past few months, I have been having issues with my vagina. there always seems to be something wrong with me. its either an infection or a yeast infection from the medication used to treat the previous infection or a herpes outbreak as a result of a yeast infection. most recently, I had a uti. I was treated for that and everything seemed fine, until after I finished the medication. it still hurt when I had sex and still is uncomfortable to pee. I dont know whats going on and this has been going on for months.","Hello, I have studied your case.

You may need to get a urine routine and culture done for the diagnosis of herpes infection or yeast infections in vaginal cavity as it can cause irritation on sexual intercourse with pus discharge from bladder due to bacteria present at this site like cystic lesion etcetera which is common after UTI so you should consult qualified Urologist who will examine you properly regarding these conditions also take treatment accordingly Hope this answers your query If you have additional questions or follow-up queries then please do not hesitate In AI Clinic forum",3,0
"i had surgery done 5 months ago for scar tissue and adhesion removal. my gynecologist just found a cyst on my right ovary. im still having problems, when my husband and i have sex i get severe cervical pain and afterward i get abdominal cramps severe enough i get light headed, also i get abdominal pain and rectal pain before and during a bowel movement, i also get abdominal pain during urination. im 26 years old. what could it be?","Hi, Thanks for writing in.

The cyst on the right ovary is not related to any infection or inflammation of your pelvis and can be due to some other cause like anemia (inflammation) which may lead you pain during intercourse with abdominal cramping etc...

You should consult qualified Urologist who will examine it thoroughly so that proper diagnosis could also help us know what type of problem there are....

If I were your doctor then we would have advised ultrasound abdomen done as well.....if this was normal than no need to worry about pregnancy because these symptoms might worsen after surgery but do get yourself examined by surgeon again",3,0
"I am on metformin 1000mg bid for pcos & was prescribed Percocet 10/650 for a severely displaced fracture needing surgery. I drink a glass of red wine nightly for heart heglth Bhc cardiac disease runs in my family... Should I be concerned a our elastase liver function test? I am also on Zoloft 150 daily, adderall 30mg bid & clonazepam as needed who I take a few night a a week","Hello, Thanks for writing to us.

I have gone through your question and understand the concern you are having regarding elastase liver disease (PCO).

It is not possible that it will be related with EASTASIS or any other cause of cardiac failure in family members who may need surgery as well because there might also been some bleeding from heart vessels which could lead to severe damage due to this condition like hemorrhage etc...

So please consult an endocrinologist once again so we can rule out these causes",3,0
"dear doctor, in hot and humid weather my 5 year old get some sort of pimples here and there on her body....i hv put her on homeopathy and also put spirit on it which prevents pimple from growing further....shown her to her paeditrician who saying she just has sensitive skin and hasnt given her medicine...homeopathy is specifically for staphlococci bacteria.....doctor feels i dnt need a blood test....will the problem go away in a few days with homeopathy and spirit application...i worry abt extreme situations like bacteia contaminating blood etc....am i just overdoing it as she absolutely fine and no fever or discomfort....she tuchwud fine and just sweats a lot due to humidity.....pl tell is this common in kids and any cause to worry...hope nothing infects blood as no major medication gvn by doctor","Hi...

Thank you for consulting in AI Clinic.

Skin conditions are best diagnosed only after seeing directly, so that we can guide better treatment options based on the severity of symptoms and overall health concerns.

I suggest using topical antihistamines (such as cetirizine or albuterol) to relieve pain and swelling.

Paracetamol may be given at nighttime but not always prescribed by your doctor because it is very effective against infection like tuberculosis.

Hope my answer was helpful for you! Wishing her good health",3,0
